respondentID;seen;fan;gender;age_group;income;loc;yoda;princess_leia_organa
3290840905;нет;;Ж;45-60;100.000 - 149.999;Северо-Восточный центральный;;
3290836653;да;нет;Ж;18-29;50.000 - 99.999;Юго-Западный центральный;очень нравится;нравится
3290834007;да;нет;;;;;отношусь нейтрально;отношусь нейтрально
3290829888;да;нет;М;45-60;100.000 - 149.999;Южно-Атлантический;отношусь нейтрально;очень нравится
3290828902;нет;;Ж;45-60;;Южно-Атлантический;;
3290824340;нет;;М;45-60;150.000+;Тихоокеанский;;
3290821620;да;нет;Ж;45-60;50.000 - 99.999;Южно-Атлантический;нравится;нравится
3290819415;да;нет;М;30-44;0 - 24.999;Южно-Атлантический;нравится;отношусь нейтрально
3290815080;нет;;Ж;> 60;50.000 - 99.999;Средне-Атлантический;;
3290812610;да;нет;Ж;45-60;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3290810177;да;да;Ж;30-44;50.000 - 99.999;Юго-Восточный центральный;очень нравится;очень нравится
3290810023;да;нет;Ж;18-29;0 - 24.999;Северо-Восточный центральный;очень нравится;не знаю такого персонажа
3290807769;нет;;Ж;18-29;0 - 24.999;Северо-Восточный центральный;;
3290806200;да;да;;;;;очень нравится;очень нравится
3290805125;да;нет;М;45-60;150.000+;Южно-Атлантический;очень нравится;очень нравится
3290804128;да;;;;;;;
3290804008;да;да;М;45-60;;Горный;очень нравится;очень нравится
3290799403;да;нет;М;45-60;0 - 24.999;Средне-Атлантический;очень не нравится;очень не нравится
3290798641;нет;;М;45-60;25.000 - 49.999;Горный;;
3290798064;да;да;М;45-60;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3290796650;да;да;Ж;45-60;;Северо-Западный центральный;очень нравится;очень нравится
3290792507;да;да;М;18-29;25.000 - 49.999;Тихоокеанский;нравится;нравится
3290787286;да;да;Ж;18-29;;Тихоокеанский;очень нравится;очень нравится
3290785928;да;да;М;18-29;0 - 24.999;Тихоокеанский;очень нравится;нравится
3290782952;нет;;М;45-60;25.000 - 49.999;Средне-Атлантический;;
3290781544;да;да;М;30-44;100.000 - 149.999;Северо-Западный центральный;нравится;нравится
3290781284;да;;;;;;;
3290781039;да;да;М;> 60;100.000 - 149.999;Юго-Западный центральный;нравится;нравится
3290779524;да;да;Ж;45-60;25.000 - 49.999;Юго-Западный центральный;очень нравится;очень нравится
3290779140;да;нет;Ж;30-44;50.000 - 99.999;Средне-Атлантический;очень нравится;очень нравится
3290778828;да;нет;Ж;> 60;50.000 - 99.999;Тихоокеанский;нравится;нравится
3290777129;да;;;;;;;
3290773277;да;да;М;30-44;150.000+;Южно-Атлантический;нравится;очень нравится
3290769012;нет;;Ж;45-60;50.000 - 99.999;Юго-Западный центральный;;
3290767951;да;;;;;;;
3290767535;да;нет;М;45-60;150.000+;Северо-Восточный центральный;;очень не нравится
3290765210;нет;;М;45-60;0 - 24.999;Средне-Атлантический;;
3290762924;да;нет;Ж;45-60;50.000 - 99.999;Северо-Западный центральный;не знаю такого персонажа;очень нравится
3290761823;нет;;Ж;> 60;0 - 24.999;Тихоокеанский;;
3290760722;да;да;Ж;45-60;;Северо-Восточный центральный;очень нравится;очень нравится
3290759512;да;да;Ж;> 60;25.000 - 49.999;Юго-Восточный центральный;очень нравится;
3290758362;да;да;М;18-29;;Средне-Атлантический;очень нравится;очень нравится
3290757230;да;нет;Ж;18-29;25.000 - 49.999;Тихоокеанский;отношусь нейтрально;отношусь нейтрально
3290756394;да;да;Ж;45-60;25.000 - 49.999;Средне-Атлантический;очень нравится;очень нравится
3290755451;да;да;Ж;> 60;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3290753390;да;нет;М;45-60;0 - 24.999;Новая Англия;нравится;отношусь нейтрально
3290749764;да;да;М;45-60;150.000+;Средне-Атлантический;очень нравится;нравится
3290749229;да;нет;М;45-60;0 - 24.999;Северо-Восточный центральный;очень нравится;очень нравится
3290746853;да;нет;Ж;45-60;0 - 24.999;Южно-Атлантический;отношусь нейтрально;
3290744027;да;;;;;;;
3290741994;да;да;М;30-44;;Горный;очень нравится;очень нравится
3290741405;да;да;Ж;45-60;100.000 - 149.999;Тихоокеанский;очень нравится;очень нравится
3290740448;да;да;Ж;45-60;150.000+;Горный;очень нравится;очень нравится
3290739967;да;да;Ж;45-60;;Северо-Западный центральный;очень нравится;очень нравится
3290739235;да;нет;Ж;45-60;150.000+;Южно-Атлантический;нравится;нравится
3290738262;нет;;Ж;> 60;25.000 - 49.999;Юго-Восточный центральный;;
3290737104;нет;;М;30-44;0 - 24.999;Северо-Восточный центральный;;
3290736072;да;да;М;45-60;150.000+;Тихоокеанский;очень нравится;отношусь нейтрально
3290734874;да;да;М;18-29;25.000 - 49.999;Юго-Западный центральный;очень нравится;нравится
3290733932;да;нет;М;45-60;25.000 - 49.999;Тихоокеанский;нравится;нравится
3290733316;да;да;Ж;45-60;25.000 - 49.999;Северо-Восточный центральный;очень нравится;нравится
3290732383;да;да;М;30-44;50.000 - 99.999;Горный;нравится;нравится
3290727763;да;да;М;30-44;100.000 - 149.999;Северо-Восточный центральный;очень нравится;нравится
3290726075;да;да;Ж;> 60;50.000 - 99.999;Новая Англия;очень нравится;очень нравится
3290719847;да;;;;;;;
3290718359;да;;;;;;;
3290717899;да;да;М;45-60;150.000+;Северо-Восточный центральный;очень нравится;очень нравится
3290717372;нет;;Ж;45-60;25.000 - 49.999;Юго-Восточный центральный;;
3290714941;да;нет;М;30-44;0 - 24.999;Юго-Западный центральный;очень нравится;нравится
3290714484;да;да;М;45-60;100.000 - 149.999;Северо-Западный центральный;нравится;отношусь нейтрально
3290714430;нет;;М;45-60;0 - 24.999;Юго-Западный центральный;;
3290714378;да;да;Ж;> 60;50.000 - 99.999;Горный;очень нравится;очень нравится
3290712204;да;нет;М;45-60;100.000 - 149.999;Северо-Восточный центральный;очень нравится;очень нравится
3290711898;нет;;М;18-29;25.000 - 49.999;Юго-Западный центральный;;
3290711882;да;нет;Ж;18-29;;Южно-Атлантический;отношусь нейтрально;очень нравится
3290711757;нет;;;;;;;
3290711487;да;нет;М;30-44;100.000 - 149.999;Северо-Восточный центральный;нравится;нравится
3290711262;да;нет;Ж;45-60;50.000 - 99.999;Северо-Западный центральный;очень не нравится;очень не нравится
3290708664;да;нет;Ж;> 60;0 - 24.999;Южно-Атлантический;нравится;очень нравится
3290707402;нет;;;;;;;
3290706716;да;нет;М;> 60;100.000 - 149.999;Юго-Западный центральный;очень нравится;нравится
3290706611;да;нет;Ж;18-29;25.000 - 49.999;Южно-Атлантический;нравится;нравится
3290703210;да;нет;М;30-44;25.000 - 49.999;Горный;нравится;отношусь нейтрально
3290701442;да;;;;;;;
3290700285;да;да;;;;;очень нравится;очень нравится
3290700214;да;нет;Ж;> 60;25.000 - 49.999;Горный;очень нравится;очень нравится
3290700030;да;да;М;30-44;0 - 24.999;Южно-Атлантический;очень нравится;очень нравится
3290699410;да;да;Ж;45-60;;Тихоокеанский;очень нравится;очень нравится
3290695784;да;да;Ж;45-60;100.000 - 149.999;Тихоокеанский;очень нравится;очень нравится
3290695316;да;;;;;;;
3290694269;нет;;Ж;> 60;50.000 - 99.999;Юго-Западный центральный;;
3290693095;да;;;;;;;
3290692020;нет;;Ж;> 60;50.000 - 99.999;Горный;;
3290691758;да;да;М;18-29;0 - 24.999;Юго-Западный центральный;очень нравится;очень нравится
3290689343;да;нет;М;45-60;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3290687981;да;да;;;;;отношусь нейтрально;очень нравится
3290687830;да;да;М;30-44;100.000 - 149.999;Средне-Атлантический;очень нравится;отношусь нейтрально
3290686887;нет;;Ж;> 60;150.000+;Тихоокеанский;;
3290686362;нет;;Ж;18-29;50.000 - 99.999;Северо-Западный центральный;;
3290685885;да;;;;;;;
3290684868;да;нет;М;30-44;50.000 - 99.999;Горный;очень нравится;нравится
3290684287;да;да;Ж;45-60;100.000 - 149.999;Северо-Восточный центральный;очень нравится;очень нравится
3290681574;да;;;;;;;
3290678952;да;нет;М;30-44;100.000 - 149.999;Юго-Западный центральный;очень нравится;очень нравится
3290678515;да;да;Ж;45-60;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3290676695;да;да;М;45-60;25.000 - 49.999;Горный;очень нравится;очень нравится
3290674534;нет;;Ж;18-29;;Средне-Атлантический;;
3290667297;да;нет;М;> 60;50.000 - 99.999;Северо-Западный центральный;;отношусь нейтрально
3290664543;да;нет;Ж;18-29;25.000 - 49.999;Тихоокеанский;очень нравится;очень нравится
3290664463;да;да;М;45-60;50.000 - 99.999;Юго-Восточный центральный;очень нравится;очень нравится
3290664069;да;;;;;;;
3290662118;да;да;М;30-44;150.000+;Северо-Восточный центральный;очень нравится;нравится
3290661650;да;да;М;18-29;150.000+;Средне-Атлантический;нравится;нравится
3290661587;да;;;;;;;
3290661135;да;да;М;30-44;50.000 - 99.999;Горный;очень нравится;очень нравится
3290659818;да;да;М;30-44;50.000 - 99.999;Северо-Восточный центральный;очень нравится;нравится
3290659314;да;да;М;30-44;0 - 24.999;Южно-Атлантический;очень нравится;очень нравится
3290655784;да;нет;М;45-60;100.000 - 149.999;Южно-Атлантический;нравится;нравится
3290654597;да;да;М;45-60;;Северо-Восточный центральный;очень нравится;очень нравится
3290652558;нет;;Ж;45-60;50.000 - 99.999;Северо-Западный центральный;;
3290651085;да;;;;;;;
3290650590;да;да;Ж;18-29;;Средне-Атлантический;очень нравится;очень нравится
3290644326;да;;;;;;;
3290640323;да;нет;М;30-44;0 - 24.999;Тихоокеанский;очень нравится;не нравится
3290638529;да;нет;М;45-60;25.000 - 49.999;Северо-Восточный центральный;отношусь нейтрально;отношусь нейтрально
3290634681;да;;;;;;;
3290631608;да;нет;Ж;45-60;;Юго-Западный центральный;не нравится;нравится
3290630470;да;нет;Ж;> 60;150.000+;Юго-Восточный центральный;очень нравится;очень нравится
3290630282;да;да;М;> 60;25.000 - 49.999;Горный;очень нравится;очень нравится
3290628419;да;;;;;;;
3290627850;да;да;М;45-60;100.000 - 149.999;Тихоокеанский;очень нравится;очень нравится
3290627681;да;да;М;45-60;100.000 - 149.999;Северо-Восточный центральный;очень нравится;очень нравится
3290626609;нет;;М;45-60;25.000 - 49.999;Южно-Атлантический;;
3290625814;да;;;;;;;
3290624447;да;да;М;45-60;50.000 - 99.999;Тихоокеанский;очень нравится;очень нравится
3290620991;да;да;М;45-60;25.000 - 49.999;Северо-Восточный центральный;очень нравится;очень нравится
3290617461;да;да;М;45-60;150.000+;Южно-Атлантический;очень нравится;очень нравится
3290611875;да;да;М;45-60;100.000 - 149.999;Южно-Атлантический;очень нравится;очень нравится
3290611716;да;нет;М;45-60;100.000 - 149.999;Северо-Западный центральный;отношусь нейтрально;отношусь нейтрально
3290602490;да;;;;;;;
3290601892;да;да;М;30-44;50.000 - 99.999;Новая Англия;очень нравится;очень нравится
3290601518;нет;;Ж;30-44;0 - 24.999;Северо-Восточный центральный;;
3290600680;да;да;Ж;45-60;150.000+;Средне-Атлантический;очень нравится;очень нравится
3290600559;да;да;Ж;> 60;;Южно-Атлантический;очень нравится;нравится
3290600057;да;да;Ж;30-44;25.000 - 49.999;Юго-Западный центральный;очень нравится;нравится
3290598307;да;нет;Ж;45-60;100.000 - 149.999;Юго-Восточный центральный;очень нравится;нравится
3290597099;да;да;Ж;30-44;100.000 - 149.999;Северо-Восточный центральный;очень нравится;очень нравится
3290593953;да;да;М;30-44;50.000 - 99.999;Тихоокеанский;нравится;очень нравится
3290582716;да;нет;Ж;45-60;100.000 - 149.999;Южно-Атлантический;нравится;нравится
3290572568;да;нет;М;45-60;25.000 - 49.999;Южно-Атлантический;отношусь нейтрально;отношусь нейтрально
3290572073;да;да;М;30-44;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3290569001;да;да;М;> 60;25.000 - 49.999;Средне-Атлантический;очень нравится;очень нравится
3290568339;да;да;М;18-29;50.000 - 99.999;Тихоокеанский;очень нравится;нравится
3290565779;да;да;М;30-44;50.000 - 99.999;Юго-Западный центральный;очень нравится;очень нравится
3290565768;да;да;М;18-29;0 - 24.999;Новая Англия;очень нравится;очень нравится
3290565487;да;;;;;;;
3290561583;да;да;М;45-60;150.000+;Тихоокеанский;очень нравится;очень нравится
3290561192;да;да;Ж;30-44;50.000 - 99.999;Юго-Западный центральный;очень нравится;очень нравится
3290555153;нет;;М;18-29;150.000+;Юго-Западный центральный;;
3290553558;да;;;;;;;
3290552963;да;нет;М;18-29;50.000 - 99.999;Новая Англия;очень нравится;нравится
3290551809;да;нет;М;30-44;150.000+;Тихоокеанский;очень нравится;очень нравится
3290547819;нет;;Ж;18-29;0 - 24.999;Средне-Атлантический;;
3290544886;нет;;Ж;> 60;150.000+;Тихоокеанский;;
3290544865;да;да;М;45-60;50.000 - 99.999;Тихоокеанский;;очень нравится
3290544012;да;;;;;;;
3290539653;да;да;Ж;18-29;0 - 24.999;Северо-Восточный центральный;очень нравится;очень нравится
3290538433;да;да;Ж;30-44;25.000 - 49.999;Новая Англия;очень нравится;нравится
3290536294;нет;;Ж;30-44;100.000 - 149.999;Новая Англия;;
3290532429;да;да;М;18-29;50.000 - 99.999;Тихоокеанский;очень нравится;нравится
3290531735;да;да;М;45-60;50.000 - 99.999;Юго-Западный центральный;очень нравится;очень нравится
3290526356;нет;;Ж;18-29;25.000 - 49.999;Северо-Восточный центральный;;
3290525782;да;нет;Ж;45-60;100.000 - 149.999;Южно-Атлантический;очень нравится;очень нравится
3290524413;да;нет;М;30-44;0 - 24.999;Северо-Восточный центральный;не нравится;нравится
3290519884;да;да;М;45-60;;Горный;нравится;очень нравится
3290515688;да;да;Ж;45-60;;Тихоокеанский;очень нравится;очень нравится
3290511533;да;нет;М;> 60;;Южно-Атлантический;очень не нравится;очень нравится
3290506830;да;да;Ж;30-44;;Горный;очень нравится;очень нравится
3290506333;да;нет;Ж;45-60;;Тихоокеанский;очень нравится;очень нравится
3290505081;да;да;Ж;18-29;0 - 24.999;Южно-Атлантический;нравится;отношусь нейтрально
3290500457;да;да;М;45-60;100.000 - 149.999;Южно-Атлантический;нравится;нравится
3290499954;да;нет;Ж;30-44;25.000 - 49.999;Средне-Атлантический;очень нравится;нравится
3290499953;да;;;;;;;
3290496822;да;да;Ж;30-44;;Северо-Западный центральный;очень нравится;очень нравится
3290491807;да;да;;;;;нравится;нравится
3290477551;да;да;М;> 60;;Северо-Восточный центральный;очень нравится;очень нравится
3290475079;нет;;М;> 60;100.000 - 149.999;Южно-Атлантический;;
3290474953;да;нет;М;> 60;;Юго-Западный центральный;очень нравится;нравится
3290471553;да;да;М;45-60;0 - 24.999;Новая Англия;очень нравится;очень нравится
3290467062;да;да;М;30-44;0 - 24.999;Новая Англия;очень нравится;нравится
3290467000;да;нет;Ж;45-60;50.000 - 99.999;Северо-Восточный центральный;нравится;нравится
3290464481;да;да;Ж;45-60;50.000 - 99.999;Средне-Атлантический;очень нравится;очень нравится
3290463350;нет;;М;45-60;100.000 - 149.999;Тихоокеанский;;
3290461599;да;да;М;> 60;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3290461455;да;;;;;;;
3290448644;да;нет;Ж;> 60;50.000 - 99.999;Тихоокеанский;очень нравится;очень нравится
3290444421;да;да;Ж;18-29;0 - 24.999;Южно-Атлантический;очень нравится;очень нравится
3290439063;да;да;М;18-29;25.000 - 49.999;Южно-Атлантический;отношусь нейтрально;нравится
3290437717;да;нет;Ж;> 60;;Тихоокеанский;очень нравится;очень нравится
3290432874;да;;;;;;;
3290432121;нет;;Ж;> 60;;Северо-Восточный центральный;;
3290428766;да;нет;Ж;30-44;;Средне-Атлантический;очень нравится;нравится
3290427764;да;да;Ж;> 60;100.000 - 149.999;Юго-Восточный центральный;очень нравится;очень нравится
3290426384;да;да;М;45-60;100.000 - 149.999;Северо-Восточный центральный;очень нравится;очень нравится
3290426289;да;;;;;;;
3290423155;да;да;М;45-60;150.000+;Юго-Западный центральный;нравится;нравится
3290421738;да;да;Ж;18-29;0 - 24.999;Тихоокеанский;нравится;не нравится
3290417966;да;да;Ж;> 60;25.000 - 49.999;Северо-Восточный центральный;очень нравится;очень нравится
3290412412;да;;;;;;;
3290411058;да;да;Ж;45-60;100.000 - 149.999;Северо-Восточный центральный;очень нравится;очень нравится
3290409431;да;нет;Ж;> 60;25.000 - 49.999;Северо-Восточный центральный;очень нравится;отношусь нейтрально
3290409075;да;нет;М;45-60;150.000+;Средне-Атлантический;очень нравится;нравится
3290407409;да;да;Ж;18-29;0 - 24.999;Горный;очень нравится;очень нравится
3290401956;да;да;Ж;30-44;150.000+;Тихоокеанский;очень нравится;нравится
3290398978;нет;;М;45-60;;Южно-Атлантический;;
3290394872;да;да;Ж;30-44;50.000 - 99.999;Юго-Восточный центральный;очень нравится;очень нравится
3290392454;да;да;М;45-60;;Средне-Атлантический;нравится;очень нравится
3290392264;да;нет;Ж;> 60;150.000+;Южно-Атлантический;очень нравится;очень нравится
3290391985;да;да;Ж;> 60;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3290386524;да;да;Ж;> 60;50.000 - 99.999;Юго-Западный центральный;очень нравится;очень нравится
3290380140;да;нет;М;> 60;25.000 - 49.999;Северо-Восточный центральный;не знаю такого персонажа;не знаю такого персонажа
3290374523;да;да;М;> 60;25.000 - 49.999;Новая Англия;очень нравится;очень нравится
3290371734;нет;;Ж;18-29;;Южно-Атлантический;;
3290371532;да;;;;;;;
3290371101;да;;;;;;;
3290365225;да;да;Ж;> 60;;Новая Англия;очень нравится;нравится
3290364952;да;да;М;45-60;0 - 24.999;Северо-Восточный центральный;очень нравится;нравится
3290359700;нет;;Ж;30-44;100.000 - 149.999;Тихоокеанский;;
3290358751;нет;;М;> 60;150.000+;Средне-Атлантический;;
3290350512;да;да;Ж;18-29;50.000 - 99.999;Средне-Атлантический;нравится;отношусь нейтрально
3290347473;да;да;М;18-29;25.000 - 49.999;Южно-Атлантический;очень нравится;очень нравится
3290344571;да;да;М;> 60;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3290343366;да;да;Ж;45-60;50.000 - 99.999;Новая Англия;очень нравится;нравится
3290342169;да;нет;М;18-29;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3290342102;да;да;Ж;> 60;150.000+;Северо-Западный центральный;очень нравится;очень нравится
3290340804;да;да;М;> 60;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3290337251;да;да;М;> 60;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3290335343;да;;;;;;;
3290329580;нет;;Ж;30-44;;Новая Англия;;
3290328309;да;да;Ж;30-44;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3290325811;да;да;М;30-44;25.000 - 49.999;Юго-Западный центральный;отношусь нейтрально;очень нравится
3290324518;да;нет;Ж;> 60;25.000 - 49.999;Южно-Атлантический;нравится;очень нравится
3290320007;да;да;М;30-44;25.000 - 49.999;Новая Англия;очень нравится;очень нравится
3290318577;да;нет;Ж;30-44;25.000 - 49.999;Тихоокеанский;нравится;нравится
3290317691;да;да;Ж;30-44;150.000+;Тихоокеанский;очень нравится;очень нравится
3290316632;да;да;М;> 60;;Южно-Атлантический;очень нравится;очень нравится
3290316375;да;да;Ж;> 60;0 - 24.999;Тихоокеанский;очень нравится;очень нравится
3290315336;да;да;Ж;45-60;100.000 - 149.999;Средне-Атлантический;очень нравится;очень нравится
3290310304;нет;;М;> 60;0 - 24.999;Юго-Западный центральный;;
3290309722;да;да;Ж;> 60;100.000 - 149.999;Тихоокеанский;очень нравится;нравится
3290309711;да;да;М;45-60;50.000 - 99.999;Тихоокеанский;очень нравится;очень нравится
3290304610;да;;;;;;;
3290297761;нет;;М;30-44;25.000 - 49.999;Южно-Атлантический;;
3290296317;да;нет;Ж;45-60;100.000 - 149.999;Юго-Западный центральный;отношусь нейтрально;очень нравится
3290295809;да;нет;М;45-60;;Северо-Восточный центральный;очень нравится;очень нравится
3290294922;нет;;Ж;> 60;100.000 - 149.999;Северо-Восточный центральный;;
3290294142;да;;;;;;;
3290292697;да;да;Ж;45-60;150.000+;Горный;очень нравится;очень нравится
3290289176;да;;;;;;;
3290287101;нет;;Ж;> 60;50.000 - 99.999;Южно-Атлантический;;
3290283817;да;да;Ж;> 60;;Тихоокеанский;очень нравится;отношусь нейтрально
3290283139;да;да;Ж;> 60;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3290280642;нет;;Ж;45-60;0 - 24.999;Юго-Западный центральный;;
3290279732;да;нет;М;30-44;50.000 - 99.999;Средне-Атлантический;отношусь нейтрально;нравится
3290269777;да;нет;Ж;> 60;50.000 - 99.999;Горный;очень нравится;очень нравится
3290268027;нет;;Ж;> 60;;Северо-Восточный центральный;;
3290266084;да;да;М;> 60;;Юго-Западный центральный;очень не нравится;очень нравится
3290262568;да;нет;М;45-60;25.000 - 49.999;Северо-Восточный центральный;отношусь нейтрально;отношусь нейтрально
3290257673;да;нет;М;45-60;50.000 - 99.999;Северо-Восточный центральный;не нравится;нравится
3290249464;нет;;;;;;;
3290248279;нет;;Ж;> 60;100.000 - 149.999;Юго-Западный центральный;;
3290248167;нет;;;;;;;
3290229579;да;нет;Ж;> 60;;Тихоокеанский;очень нравится;очень нравится
3290227264;да;да;М;45-60;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3290225128;нет;;Ж;> 60;50.000 - 99.999;Юго-Западный центральный;;
3290223393;да;да;Ж;> 60;25.000 - 49.999;Средне-Атлантический;очень нравится;очень нравится
3290216970;да;да;Ж;18-29;0 - 24.999;Новая Англия;очень нравится;очень нравится
3290213089;да;да;М;45-60;25.000 - 49.999;Северо-Восточный центральный;нравится;очень нравится
3290210801;да;да;М;45-60;;Северо-Западный центральный;очень нравится;нравится
3290209773;да;да;Ж;> 60;;Средне-Атлантический;очень нравится;очень нравится
3290209744;да;да;М;18-29;50.000 - 99.999;Южно-Атлантический;нравится;очень нравится
3290206907;да;нет;М;30-44;25.000 - 49.999;Южно-Атлантический;нравится;отношусь нейтрально
3290203063;да;да;М;45-60;150.000+;Новая Англия;нравится;очень нравится
3290201752;да;нет;Ж;> 60;150.000+;Тихоокеанский;очень нравится;очень нравится
3290196296;да;нет;Ж;45-60;50.000 - 99.999;Северо-Западный центральный;нравится;очень нравится
3290193368;да;;;;;;;
3290191566;да;да;Ж;30-44;0 - 24.999;Южно-Атлантический;очень нравится;очень нравится
3290188213;да;да;М;18-29;;Юго-Восточный центральный;очень нравится;очень нравится
3290185244;да;нет;Ж;18-29;50.000 - 99.999;Южно-Атлантический;не знаю такого персонажа;не знаю такого персонажа
3290184813;нет;;;;;;;
3290182531;нет;;Ж;> 60;50.000 - 99.999;Средне-Атлантический;;
3290180442;нет;;Ж;> 60;;Южно-Атлантический;;
3290176915;да;;;;;;;
3290176563;да;да;Ж;18-29;50.000 - 99.999;Тихоокеанский;очень нравится;не нравится
3290174629;нет;;М;> 60;100.000 - 149.999;Горный;;
3290174048;да;;;;;;;
3290173775;да;да;Ж;> 60;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3290173176;да;да;М;18-29;25.000 - 49.999;Южно-Атлантический;нравится;очень нравится
3290167473;да;нет;М;> 60;150.000+;Тихоокеанский;не знаю такого персонажа;не знаю такого персонажа
3290164098;да;;;;;;;
3290159455;нет;;М;> 60;0 - 24.999;Южно-Атлантический;;
3290159056;нет;;Ж;> 60;25.000 - 49.999;Тихоокеанский;;
3290157529;да;да;Ж;18-29;100.000 - 149.999;Тихоокеанский;нравится;нравится
